time_ms,cpu_usage,active_workers,queue_len
3437,280,8,790
3447,280,8,790
3457,280,8,790
3467,280,8,790
3478,280,8,790
3488,280,8,789
3498,280,8,789
3509,280,8,789
3519,280,8,789
3529,280,8,789
3540,280,8,789
3550,280,8,785
3560,280,8,785
3571,280,8,785
3581,280,8,785
3591,280,8,785
3601,280,8,785
3611,280,8,782
3621,280,8,782
3632,280,8,782
3642,280,8,782
3653,280,8,782
3663,280,8,782
3674,280,8,782
3684,280,8,782
3694,280,8,782
3704,280,8,782
3714,280,8,782
3725,280,8,782
3735,280,8,782
3746,280,8,782
3756,280,8,782
3767,280,8,782
3777,280,8,782
3788,280,8,781
3798,280,8,781
3809,280,8,781
3819,280,8,781
3829,280,8,781
3840,280,8,781
3850,280,8,777
3861,280,8,777
3871,280,8,777
3881,280,8,777
3892,280,8,777
3902,280,8,777
3913,280,8,774
3923,280,8,774
3933,280,8,774
3943,280,8,774
3954,280,8,774
3964,280,8,774
3974,280,8,774
3984,280,8,774
3994,280,8,774
4004,280,8,774
4015,280,8,774
4025,280,8,774
4035,280,8,774
4045,280,8,774
4055,280,8,774
4065,280,8,774
4076,280,8,774
4086,280,8,774
4096,280,8,773
4107,280,8,773
4117,280,8,773
4128,280,8,773
4138,280,8,773
4148,280,8,770
4158,280,8,769
4169,280,8,769
4179,280,8,769
4189,280,8,769
4199,280,8,769
4210,280,8,766
4220,280,8,766
4230,280,8,766
4240,280,8,766
4250,280,8,766
4260,280,8,766
4271,280,8,766
4281,280,8,766
4292,280,8,766
4302,280,8,766
4312,280,8,766
4322,280,8,766
4332,280,8,766
4342,280,8,766
4352,280,8,766
4362,280,8,766
4372,280,8,766
4383,280,8,766
4393,280,8,765
4403,280,8,765
4413,280,8,765
4423,280,8,765
4433,280,8,765
4444,280,8,765
4454,280,8,761
4465,280,8,761
4475,280,8,761
4486,280,8,761
4496,280,8,761
4507,280,8,758
4517,280,8,758
4528,280,8,758
4538,280,8,758
4549,280,8,758
4559,280,8,758
4570,280,8,758
4580,280,8,758
4591,280,8,758
4601,280,8,758
4612,280,8,758
4622,280,8,758
4632,280,8,758
4643,280,8,758
4653,280,8,758
4664,280,8,758
4674,280,8,758
4684,280,8,758
4694,280,8,757
4705,280,8,757
4715,280,8,757
4725,280,8,757
4735,280,8,757
4745,280,8,757
4756,280,8,753
4766,280,8,753
4776,280,8,753
4787,280,8,753
4797,280,8,753
4808,280,8,750
4818,280,8,750
4828,280,8,750
4839,280,8,750
4849,280,8,750
4859,280,8,750
4869,280,8,750
4880,280,8,750
4890,280,8,750
4900,280,8,750
4911,280,8,750
4921,280,8,750
4931,280,8,750
4942,280,8,750
4952,280,8,750
4962,280,8,750
4972,280,8,750
4983,280,8,750
4993,280,8,749
5004,280,8,749
5014,280,8,749
5025,280,8,749
5035,280,8,749
5046,280,8,749
5056,280,8,745
5067,280,8,745
5077,280,8,745
5088,280,8,745
5098,280,8,745
5109,280,8,742
5119,280,8,742
5130,280,8,742
5140,280,8,742
5151,280,8,742
5161,280,8,742
5172,280,8,742
5182,280,8,742
5193,280,8,742
5203,280,8,742
5214,280,8,742
5224,280,8,742
5234,280,8,742
5244,280,8,742
5255,280,8,742
5265,280,8,742
5275,280,8,742
5285,280,8,742
5296,280,8,741
5306,280,8,741
5316,280,8,741
5326,280,8,741
5336,280,8,741
5346,280,8,741
5356,280,8,737
5366,280,8,737
5377,280,8,737
5387,280,8,737
5397,280,8,737
5407,280,8,734
5418,280,8,734
5428,280,8,734
5438,280,8,734
5448,280,8,734
5459,280,8,734
5469,280,8,734
5479,280,8,734
5489,280,8,734
5499,280,8,734
5510,280,8,734
5520,280,8,734
5530,280,8,734
5540,280,8,734
5551,280,8,734
5561,280,8,734
5571,280,8,734
5581,280,8,734
5591,280,8,733
5602,280,8,733
5612,280,8,733
5622,280,8,733
5632,280,8,733
5642,280,8,733
5652,280,8,729
5663,280,8,729
5673,280,8,729
5683,280,8,729
5694,280,8,729
5704,280,8,729
5714,280,8,726
5725,280,8,726
5735,280,8,726
5745,280,8,726
5755,280,8,726
5766,280,8,726
5776,280,8,726
5787,280,8,726
5797,280,8,726
5807,280,8,726
5817,280,8,726
5828,280,8,726
5838,280,8,726
5848,280,8,726
5858,280,8,726
5868,280,8,726
5879,280,8,726
5889,280,8,725
5899,280,8,725
5909,280,8,725
5919,280,8,725
5930,280,8,725
5940,280,8,725
5950,280,8,721
5960,280,8,721
5971,280,8,721
5981,280,8,721
5992,280,8,721
6002,280,8,721
6013,280,8,718
6023,280,8,718
6033,280,8,718
6044,280,8,718
6054,280,8,718
6064,280,8,718
6074,280,8,718
6084,280,8,718
6094,280,8,718
6105,280,8,718
6115,280,8,718
6125,280,8,718
6135,280,8,718
6146,280,8,718
6156,280,8,718
6166,280,8,718
6176,280,8,718
6186,280,8,718
6197,280,8,717
6207,280,8,717
6217,280,8,717
6227,280,8,717
6237,280,8,717
6248,280,8,717
6258,280,8,713
6268,280,8,713
6278,280,8,713
6288,280,8,713
6298,280,8,713
6308,280,8,710
6318,280,8,710
6328,280,8,710
6339,280,8,710
6349,280,8,710
6359,280,8,710
6369,280,8,710
6379,280,8,710
6389,280,8,710
6400,280,8,710
6410,280,8,710
6421,280,8,710
6431,280,8,710
6441,280,8,710
6451,280,8,710
6461,280,8,710
6472,280,8,710
6482,280,8,710
6493,280,8,709
6503,280,8,709
6513,280,8,709
6523,280,8,709
6534,280,8,709
6544,280,8,709
6554,280,8,705
6564,280,8,705
6574,280,8,705
6584,280,8,705
6594,280,8,705
6604,280,8,705
6615,280,8,702
6625,280,8,702
6635,280,8,702
6646,280,8,702
6656,280,8,702
6667,280,8,702
6677,280,8,702
6687,280,8,702
6697,280,8,702
6708,280,8,702
6718,280,8,702
6728,280,8,702
6738,280,8,702
6749,280,8,702
6759,280,8,702
6769,280,8,702
6779,280,8,702
6790,280,8,701
6800,280,8,701
6810,280,8,701
6820,280,8,701
6830,280,8,701
6840,280,8,701
6851,280,8,697
6861,280,8,697
6871,280,8,697
6882,280,8,697
6892,280,8,697
6902,280,8,697
6912,280,8,694
6923,280,8,694
6933,280,8,694
6944,280,8,694
6954,280,8,694
6964,280,8,694
6974,280,8,694
6985,280,8,694
6995,280,8,694
7005,280,8,694
7015,280,8,694
7025,280,8,694
7036,280,8,694
7046,280,8,694
7056,280,8,694
7067,280,8,694
7077,280,8,694
7087,280,8,694
7097,280,8,693
7107,280,8,693
7117,280,8,693
7128,280,8,693
7138,280,8,693
7148,280,8,693
7159,280,8,689
7169,280,8,689
7179,280,8,689
7189,280,8,689
7199,280,8,689
7209,280,8,686
7219,280,8,686
7230,280,8,686
7240,280,8,686
7250,280,8,686
7261,280,8,686
7271,280,8,686
7281,280,8,686
7291,280,8,686
7302,280,8,686
7312,280,8,686
7322,280,8,686
7332,280,8,686
7342,280,8,686
7352,280,8,686
7362,280,8,686
7372,280,8,686
7383,280,8,686
7393,280,8,685
7403,280,8,685
7413,280,8,685
7423,280,8,685
7434,280,8,685
7444,280,8,685
7454,280,8,681
7464,280,8,681
7475,280,8,681
7485,280,8,681
7496,280,8,681
7506,280,8,681
7517,280,8,678
7527,280,8,678
7537,280,8,678
7547,280,8,678
7558,280,8,678
7568,280,8,678
7578,280,8,678
7588,280,8,678
7598,280,8,678
7608,280,8,678
7619,280,8,678
7629,280,8,678
7639,280,8,678
7649,280,8,678
7660,280,8,678
7670,280,8,678
7680,280,8,678
7690,245,7,678
7700,280,8,677
7711,280,8,677
7721,280,8,677
7731,280,8,677
7741,280,8,677
7752,280,8,673
7762,280,8,673
7772,280,8,673
7782,280,8,673
7792,280,8,673
7802,280,8,673
7813,280,8,670
7823,280,8,670
7833,280,8,670
7843,280,8,670
7854,280,8,670
7864,280,8,670
7875,280,8,670
7885,280,8,670
7896,280,8,670
7906,280,8,670
7917,280,8,670
7927,280,8,670
7938,280,8,670
7948,280,8,670
7959,280,8,670
7969,280,8,670
7980,280,8,670
7990,280,8,669
8001,280,8,669
8011,280,8,669
8022,280,8,669
8032,280,8,669
